passenger_id,service_date,period,arrival_time,service_start_time,service_end_time,server_id,servers_scheduled
SYN-20260105-MORNINGPEAK-0001,2026-01-05,Morning peak,2026-01-05T06:01:23Z,2026-01-05T06:04:09Z,2026-01-05T06:06:39Z,2,6
SYN-20260105-MORNINGPEAK-0002,2026-01-05,Morning peak,2026-01-05T06:01:31Z,2026-01-05T06:04:57Z,2026-01-05T06:05:47Z,4,6
SYN-20260105-MORNINGPEAK-0003,2026-01-05,Morning peak,2026-01-05T06:02:42Z,2026-01-05T06:05:32Z,2026-01-05T06:08:13Z,1,6
SYN-20260105-MORNINGPEAK-0004,2026-01-05,Morning peak,2026-01-05T06:02:43Z,2026-01-05T06:05:47Z,2026-01-05T06:07:39Z,4,6
SYN-20260105-MORNINGPEAK-0005,2026-01-05,Morning peak,2026-01-05T06:04:08Z,2026-01-05T06:06:19Z,2026-01-05T06:06:35Z,6,6
SYN-20260105-MORNINGPEAK-0006,2026-01-05,Morning peak,2026-01-05T06:05:53Z,2026-01-05T06:06:35Z,2026-01-05T06:15:36Z,6,6
SYN-20260105-MORNINGPEAK-0007,2026-01-05,Morning peak,2026-01-05T06:06:10Z,2026-01-05T06:06:39Z,2026-01-05T06:06:42Z,2,6
SYN-20260105-MORNINGPEAK-0008,2026-01-05,Morning peak,2026-01-05T06:06:15Z,2026-01-05T06:06:42Z,2026-01-05T06:06:54Z,2,6
SYN-20260105-MORNINGPEAK-0009,2026-01-05,Morning peak,2026-01-05T06:06:58Z,2026-01-05T06:06:58Z,2026-01-05T06:15:43Z,2,6
SYN-20260105-MORNINGPEAK-0010,2026-01-05,Morning peak,2026-01-05T06:07:58Z,2026-01-05T06:07:58Z,2026-01-05T06:11:34Z,4,6
SYN-20260105-MORNINGPEAK-0011,2026-01-05,Morning peak,2026-01-05T06:09:32Z,2026-01-05T06:09:32Z,2026-01-05T06:14:59Z,1,6
SYN-20260105-MORNINGPEAK-0012,2026-01-05,Morning peak,2026-01-05T06:11:48Z,2026-01-05T06:11:48Z,2026-01-05T06:12:51Z,3,6
SYN-20260105-MORNINGPEAK-0013,2026-01-05,Morning peak,2026-01-05T06:12:54Z,2026-01-05T06:12:54Z,2026-01-05T06:16:22Z,4,6
SYN-20260105-MORNINGPEAK-0014,2026-01-05,Morning peak,2026-01-05T06:14:23Z,2026-01-05T06:14:23Z,2026-01-05T06:15:10Z,3,6
SYN-20260105-MORNINGPEAK-0015,2026-01-05,Morning peak,2026-01-05T06:15:42Z,2026-01-05T06:15:42Z,2026-01-05T06:16:22Z,5,6
SYN-20260105-MORNINGPEAK-0016,2026-01-05,Morning peak,2026-01-05T06:15:49Z,2026-01-05T06:15:49Z,2026-01-05T06:32:25Z,1,6
SYN-20260105-MORNINGPEAK-0017,2026-01-05,Morning peak,2026-01-05T06:18:07Z,2026-01-05T06:18:07Z,2026-01-05T06:26:17Z,3,6
SYN-20260105-MORNINGPEAK-0018,2026-01-05,Morning peak,2026-01-05T06:18:52Z,2026-01-05T06:18:52Z,2026-01-05T06:19:15Z,6,6
SYN-20260105-MORNINGPEAK-0019,2026-01-05,Morning peak,2026-01-05T06:19:26Z,2026-01-05T06:19:26Z,2026-01-05T06:24:28Z,2,6
SYN-20260105-MORNINGPEAK-0020,2026-01-05,Morning peak,2026-01-05T06:19:47Z,2026-01-05T06:19:47Z,2026-01-05T06:20:35Z,5,6
SYN-20260105-MORNINGPEAK-0021,2026-01-05,Morning peak,2026-01-05T06:20:15Z,2026-01-05T06:20:15Z,2026-01-05T06:30:25Z,4,6
SYN-20260105-MORNINGPEAK-0022,2026-01-05,Morning peak,2026-01-05T06:21:25Z,2026-01-05T06:21:25Z,2026-01-05T06:24:23Z,6,6
SYN-20260105-MORNINGPEAK-0023,2026-01-05,Morning peak,2026-01-05T06:21:35Z,2026-01-05T06:21:35Z,2026-01-05T06:33:31Z,5,6
SYN-20260105-MORNINGPEAK-0024,2026-01-05,Morning peak,2026-01-05T06:22:00Z,2026-01-05T06:24:23Z,2026-01-05T06:27:17Z,6,6
SYN-20260105-MORNINGPEAK-0025,2026-01-05,Morning peak,2026-01-05T06:22:17Z,2026-01-05T06:24:28Z,2026-01-05T06:24:46Z,2,6
SYN-20260105-MORNINGPEAK-0026,2026-01-05,Morning peak,2026-01-05T06:23:03Z,2026-01-05T06:24:46Z,2026-01-05T06:27:39Z,2,6
SYN-20260105-MORNINGPEAK-0027,2026-01-05,Morning peak,2026-01-05T06:25:22Z,2026-01-05T06:26:17Z,2026-01-05T06:31:30Z,3,6
SYN-20260105-MORNINGPEAK-0028,2026-01-05,Morning peak,2026-01-05T06:25:30Z,2026-01-05T06:27:17Z,2026-01-05T06:31:17Z,6,6
SYN-20260105-MORNINGPEAK-0029,2026-01-05,Morning peak,2026-01-05T06:25:59Z,2026-01-05T06:27:39Z,2026-01-05T06:36:01Z,2,6
SYN-20260105-MORNINGPEAK-0030,2026-01-05,Morning peak,2026-01-05T06:26:02Z,2026-01-05T06:30:25Z,2026-01-05T06:38:39Z,4,6
SYN-20260105-MORNINGPEAK-0031,2026-01-05,Morning peak,2026-01-05T06:27:28Z,2026-01-05T06:31:17Z,2026-01-05T06:40:47Z,6,6
SYN-20260105-MORNINGPEAK-0032,2026-01-05,Morning peak,2026-01-05T06:27:49Z,2026-01-05T06:31:30Z,2026-01-05T06:32:35Z,3,6
SYN-20260105-MORNINGPEAK-0033,2026-01-05,Morning peak,2026-01-05T06:28:00Z,2026-01-05T06:32:25Z,2026-01-05T06:35:41Z,1,6
SYN-20260105-MORNINGPEAK-0034,2026-01-05,Morning peak,2026-01-05T06:28:48Z,2026-01-05T06:32:35Z,2026-01-05T06:37:30Z,3,6
SYN-20260105-MORNINGPEAK-0035,2026-01-05,Morning peak,2026-01-05T06:28:49Z,2026-01-05T06:33:31Z,2026-01-05T06:44:35Z,5,6
SYN-20260105-MORNINGPEAK-0036,2026-01-05,Morning peak,2026-01-05T06:28:54Z,2026-01-05T06:35:41Z,2026-01-05T06:37:27Z,1,6
SYN-20260105-MORNINGPEAK-0037,2026-01-05,Morning peak,2026-01-05T06:29:24Z,2026-01-05T06:36:01Z,2026-01-05T06:38:20Z,2,6
SYN-20260105-MORNINGPEAK-0038,2026-01-05,Morning peak,2026-01-05T06:32:09Z,2026-01-05T06:37:27Z,2026-01-05T06:40:25Z,1,6
SYN-20260105-MORNINGPEAK-0039,2026-01-05,Morning peak,2026-01-05T06:32:35Z,2026-01-05T06:37:30Z,2026-01-05T06:41:43Z,3,6
SYN-20260105-MORNINGPEAK-0040,2026-01-05,Morning peak,2026-01-05T06:33:24Z,2026-01-05T06:38:20Z,2026-01-05T06:40:05Z,2,6
SYN-20260105-MORNINGPEAK-0041,2026-01-05,Morning peak,2026-01-05T06:33:29Z,2026-01-05T06:38:39Z,2026-01-05T06:43:26Z,4,6
SYN-20260105-MORNINGPEAK-0042,2026-01-05,Morning peak,2026-01-05T06:33:53Z,2026-01-05T06:40:05Z,2026-01-05T06:48:20Z,2,6
SYN-20260105-MORNINGPEAK-0043,2026-01-05,Morning peak,2026-01-05T06:33:57Z,2026-01-05T06:40:25Z,2026-01-05T06:45:58Z,1,6
SYN-20260105-MORNINGPEAK-0044,2026-01-05,Morning peak,2026-01-05T06:34:37Z,2026-01-05T06:40:47Z,2026-01-05T06:43:59Z,6,6
SYN-20260105-MORNINGPEAK-0045,2026-01-05,Morning peak,2026-01-05T06:35:01Z,2026-01-05T06:41:43Z,2026-01-05T06:48:09Z,3,6
SYN-20260105-MORNINGPEAK-0046,2026-01-05,Morning peak,2026-01-05T06:35:18Z,2026-01-05T06:43:26Z,2026-01-05T06:57:18Z,4,6
SYN-20260105-MORNINGPEAK-0047,2026-01-05,Morning peak,2026-01-05T06:35:46Z,2026-01-05T06:43:59Z,2026-01-05T06:54:16Z,6,6
SYN-20260105-MORNINGPEAK-0048,2026-01-05,Morning peak,2026-01-05T06:36:05Z,2026-01-05T06:44:35Z,2026-01-05T06:45:54Z,5,6
SYN-20260105-MORNINGPEAK-0049,2026-01-05,Morning peak,2026-01-05T06:36:49Z,2026-01-05T06:45:54Z,2026-01-05T06:46:06Z,5,6
SYN-20260105-MORNINGPEAK-0050,2026-01-05,Morning peak,2026-01-05T06:37:27Z,2026-01-05T06:45:58Z,2026-01-05T06:47:59Z,1,6
SYN-20260105-MORNINGPEAK-0051,2026-01-05,Morning peak,2026-01-05T06:38:31Z,2026-01-05T06:46:06Z,2026-01-05T06:51:23Z,5,6
SYN-20260105-MORNINGPEAK-0052,2026-01-05,Morning peak,2026-01-05T06:38:52Z,2026-01-05T06:47:59Z,2026-01-05T06:53:27Z,1,6
SYN-20260105-MORNINGPEAK-0053,2026-01-05,Morning peak,2026-01-05T06:39:26Z,2026-01-05T06:48:09Z,2026-01-05T06:51:43Z,3,6
SYN-20260105-MORNINGPEAK-0054,2026-01-05,Morning peak,2026-01-05T06:40:07Z,2026-01-05T06:48:20Z,2026-01-05T06:52:42Z,2,6
SYN-20260105-MORNINGPEAK-0055,2026-01-05,Morning peak,2026-01-05T06:41:58Z,2026-01-05T06:51:23Z,2026-01-05T06:53:02Z,5,6
SYN-20260105-MORNINGPEAK-0056,2026-01-05,Morning peak,2026-01-05T06:42:33Z,2026-01-05T06:51:43Z,2026-01-05T06:51:59Z,3,6
SYN-20260105-MORNINGPEAK-0057,2026-01-05,Morning peak,2026-01-05T06:43:08Z,2026-01-05T06:51:59Z,2026-01-05T06:52:22Z,3,6
SYN-20260105-MORNINGPEAK-0058,2026-01-05,Morning peak,2026-01-05T06:44:02Z,2026-01-05T06:52:22Z,2026-01-05T06:53:42Z,3,6
SYN-20260105-MORNINGPEAK-0059,2026-01-05,Morning peak,2026-01-05T06:44:06Z,2026-01-05T06:52:42Z,2026-01-05T07:00:18Z,2,6
SYN-20260105-MORNINGPEAK-0060,2026-01-05,Morning peak,2026-01-05T06:46:00Z,2026-01-05T06:53:02Z,2026-01-05T06:59:37Z,5,6
SYN-20260105-MORNINGPEAK-0061,2026-01-05,Morning peak,2026-01-05T06:46:05Z,2026-01-05T06:53:27Z,2026-01-05T06:55:27Z,1,6
SYN-20260105-MORNINGPEAK-0062,2026-01-05,Morning peak,2026-01-05T06:46:45Z,2026-01-05T06:53:42Z,2026-01-05T07:02:12Z,3,6
SYN-20260105-MORNINGPEAK-0063,2026-01-05,Morning peak,2026-01-05T06:47:07Z,2026-01-05T06:54:16Z,2026-01-05T06:55:17Z,6,6
SYN-20260105-MORNINGPEAK-0064,2026-01-05,Morning peak,2026-01-05T06:47:22Z,2026-01-05T06:55:17Z,2026-01-05T06:57:55Z,6,6
SYN-20260105-MORNINGPEAK-0065,2026-01-05,Morning peak,2026-01-05T06:47:46Z,2026-01-05T06:55:27Z,2026-01-05T06:55:44Z,1,6
SYN-20260105-MORNINGPEAK-0066,2026-01-05,Morning peak,2026-01-05T06:49:12Z,2026-01-05T06:55:44Z,2026-01-05T06:56:45Z,1,6
SYN-20260105-MORNINGPEAK-0067,2026-01-05,Morning peak,2026-01-05T06:49:26Z,2026-01-05T06:56:45Z,2026-01-05T07:05:40Z,1,6
SYN-20260105-MORNINGPEAK-0068,2026-01-05,Morning peak,2026-01-05T06:50:48Z,2026-01-05T06:57:18Z,2026-01-05T06:57:24Z,4,6
SYN-20260105-MORNINGPEAK-0069,2026-01-05,Morning peak,2026-01-05T06:51:04Z,2026-01-05T06:57:24Z,2026-01-05T07:03:17Z,4,6
SYN-20260105-MORNINGPEAK-0070,2026-01-05,Morning peak,2026-01-05T06:51:27Z,2026-01-05T06:57:55Z,2026-01-05T07:01:13Z,6,6
SYN-20260105-MORNINGPEAK-0071,2026-01-05,Morning peak,2026-01-05T06:51:57Z,2026-01-05T06:59:37Z,2026-01-05T07:12:30Z,5,6
SYN-20260105-MORNINGPEAK-0072,2026-01-05,Morning peak,2026-01-05T06:53:12Z,2026-01-05T07:00:18Z,2026-01-05T07:01:49Z,2,6
SYN-20260105-MORNINGPEAK-0073,2026-01-05,Morning peak,2026-01-05T06:54:46Z,2026-01-05T07:01:13Z,2026-01-05T07:03:27Z,6,6
SYN-20260105-MORNINGPEAK-0074,2026-01-05,Morning peak,2026-01-05T06:56:41Z,2026-01-05T07:01:49Z,2026-01-05T07:01:52Z,2,6
SYN-20260105-MORNINGPEAK-0075,2026-01-05,Morning peak,2026-01-05T06:58:40Z,2026-01-05T07:01:52Z,2026-01-05T07:09:15Z,2,6
SYN-20260105-MORNINGPEAK-0076,2026-01-05,Morning peak,2026-01-05T07:00:53Z,2026-01-05T07:02:12Z,2026-01-05T07:19:42Z,3,6
SYN-20260105-MORNINGPEAK-0077,2026-01-05,Morning peak,2026-01-05T07:01:05Z,2026-01-05T07:03:17Z,2026-01-05T07:10:47Z,4,6
SYN-20260105-MORNINGPEAK-0078,2026-01-05,Morning peak,2026-01-05T07:02:23Z,2026-01-05T07:03:27Z,2026-01-05T07:12:45Z,6,6
SYN-20260105-MORNINGPEAK-0079,2026-01-05,Morning peak,2026-01-05T07:03:50Z,2026-01-05T07:05:40Z,2026-01-05T07:08:04Z,1,6
SYN-20260105-MORNINGPEAK-0080,2026-01-05,Morning peak,2026-01-05T07:05:13Z,2026-01-05T07:08:04Z,2026-01-05T07:13:52Z,1,6
SYN-20260105-MORNINGPEAK-0081,2026-01-05,Morning peak,2026-01-05T07:05:29Z,2026-01-05T07:09:15Z,2026-01-05T07:15:35Z,2,6
SYN-20260105-MORNINGPEAK-0082,2026-01-05,Morning peak,2026-01-05T07:06:34Z,2026-01-05T07:10:47Z,2026-01-05T07:17:10Z,4,6
SYN-20260105-MORNINGPEAK-0083,2026-01-05,Morning peak,2026-01-05T07:06:39Z,2026-01-05T07:12:30Z,2026-01-05T07:14:20Z,5,6
SYN-20260105-MORNINGPEAK-0084,2026-01-05,Morning peak,2026-01-05T07:07:14Z,2026-01-05T07:12:45Z,2026-01-05T07:21:32Z,6,6
SYN-20260105-MORNINGPEAK-0085,2026-01-05,Morning peak,2026-01-05T07:07:50Z,2026-01-05T07:13:52Z,2026-01-05T07:16:46Z,1,6
SYN-20260105-MORNINGPEAK-0086,2026-01-05,Morning peak,2026-01-05T07:08:26Z,2026-01-05T07:14:20Z,2026-01-05T07:16:37Z,5,6
SYN-20260105-MORNINGPEAK-0087,2026-01-05,Morning peak,2026-01-05T07:08:43Z,2026-01-05T07:15:35Z,2026-01-05T07:22:58Z,2,6
SYN-20260105-MORNINGPEAK-0088,2026-01-05,Morning peak,2026-01-05T07:09:25Z,2026-01-05T07:16:37Z,2026-01-05T07:17:00Z,5,6
SYN-20260105-MORNINGPEAK-0089,2026-01-05,Morning peak,2026-01-05T07:09:42Z,2026-01-05T07:16:46Z,2026-01-05T07:18:09Z,1,6
SYN-20260105-MORNINGPEAK-0090,2026-01-05,Morning peak,2026-01-05T07:10:16Z,2026-01-05T07:17:00Z,2026-01-05T07:17:27Z,5,6
