service_date,period,day_type,window_start,window_end,observation_hours,servers_scheduled
2026-01-05,Morning peak,Weekday,2026-01-05T06:00:00Z,2026-01-05T08:00:00Z,2,6
2026-01-05,Midday,Weekday,2026-01-05T10:00:00Z,2026-01-05T12:00:00Z,2,5
2026-01-05,Afternoon peak,Weekday,2026-01-05T14:00:00Z,2026-01-05T16:00:00Z,2,5
2026-01-05,Evening,Weekday,2026-01-05T18:00:00Z,2026-01-05T20:00:00Z,2,4
2026-01-06,Morning peak,Weekday,2026-01-06T06:00:00Z,2026-01-06T08:00:00Z,2,6
2026-01-06,Midday,Weekday,2026-01-06T10:00:00Z,2026-01-06T12:00:00Z,2,5
2026-01-06,Afternoon peak,Weekday,2026-01-06T14:00:00Z,2026-01-06T16:00:00Z,2,5
2026-01-06,Evening,Weekday,2026-01-06T18:00:00Z,2026-01-06T20:00:00Z,2,4
2026-01-07,Morning peak,Weekday,2026-01-07T06:00:00Z,2026-01-07T08:00:00Z,2,6
2026-01-07,Midday,Weekday,2026-01-07T10:00:00Z,2026-01-07T12:00:00Z,2,5
2026-01-07,Afternoon peak,Weekday,2026-01-07T14:00:00Z,2026-01-07T16:00:00Z,2,5
2026-01-07,Evening,Weekday,2026-01-07T18:00:00Z,2026-01-07T20:00:00Z,2,4
2026-01-08,Morning peak,Weekday,2026-01-08T06:00:00Z,2026-01-08T08:00:00Z,2,6
2026-01-08,Midday,Weekday,2026-01-08T10:00:00Z,2026-01-08T12:00:00Z,2,5
2026-01-08,Afternoon peak,Weekday,2026-01-08T14:00:00Z,2026-01-08T16:00:00Z,2,5
2026-01-08,Evening,Weekday,2026-01-08T18:00:00Z,2026-01-08T20:00:00Z,2,4
2026-01-09,Morning peak,Weekday,2026-01-09T06:00:00Z,2026-01-09T08:00:00Z,2,6
2026-01-09,Midday,Weekday,2026-01-09T10:00:00Z,2026-01-09T12:00:00Z,2,5
2026-01-09,Afternoon peak,Weekday,2026-01-09T14:00:00Z,2026-01-09T16:00:00Z,2,5
2026-01-09,Evening,Weekday,2026-01-09T18:00:00Z,2026-01-09T20:00:00Z,2,4
2026-01-10,Morning peak,Weekend,2026-01-10T06:00:00Z,2026-01-10T08:00:00Z,2,6
2026-01-10,Midday,Weekend,2026-01-10T10:00:00Z,2026-01-10T12:00:00Z,2,5
2026-01-10,Afternoon peak,Weekend,2026-01-10T14:00:00Z,2026-01-10T16:00:00Z,2,5
2026-01-10,Evening,Weekend,2026-01-10T18:00:00Z,2026-01-10T20:00:00Z,2,4
2026-01-11,Morning peak,Weekend,2026-01-11T06:00:00Z,2026-01-11T08:00:00Z,2,6
2026-01-11,Midday,Weekend,2026-01-11T10:00:00Z,2026-01-11T12:00:00Z,2,5
2026-01-11,Afternoon peak,Weekend,2026-01-11T14:00:00Z,2026-01-11T16:00:00Z,2,5
2026-01-11,Evening,Weekend,2026-01-11T18:00:00Z,2026-01-11T20:00:00Z,2,4
2026-01-12,Morning peak,Weekday,2026-01-12T06:00:00Z,2026-01-12T08:00:00Z,2,6
2026-01-12,Midday,Weekday,2026-01-12T10:00:00Z,2026-01-12T12:00:00Z,2,5
2026-01-12,Afternoon peak,Weekday,2026-01-12T14:00:00Z,2026-01-12T16:00:00Z,2,5
2026-01-12,Evening,Weekday,2026-01-12T18:00:00Z,2026-01-12T20:00:00Z,2,4
