period,demand_multiplier,service_multiplier,lambda_hat,mu_hat,servers,utilization,stable,service_level,expected_wait_minutes
Morning peak,0.9,0.9,84.25892857142857,15.041281040473482,6,0.9336408730158731,TRUE,0.6646114624971043,9.167541360772216
Morning peak,0.9,1,84.25892857142857,15.041281040473482,6,0.8402767857142858,TRUE,0.9454663746856901,2.508295504171935
Morning peak,0.9,1.1,84.25892857142857,15.041281040473482,6,0.763887987012987,TRUE,0.9910048168028126,1.1450281153168385
Morning peak,1,0.9,84.25892857142857,15.041281040473482,6,1.0373787477954144,FALSE,NA,Inf
Morning peak,1,1,84.25892857142857,15.041281040473482,6,0.9336408730158731,TRUE,0.6964710341420526,8.250787224694987
Morning peak,1,1.1,84.25892857142857,15.041281040473482,6,0.84876443001443,TRUE,0.9491150896993551,2.4829777359648153
Morning peak,1.1,0.9,84.25892857142857,15.041281040473482,6,1.141116622574956,FALSE,NA,Inf
Morning peak,1.1,1,84.25892857142857,15.041281040473482,6,1.0270049603174605,FALSE,NA,Inf
Morning peak,1.1,1.1,84.25892857142857,15.041281040473482,6,0.9336408730158731,TRUE,0.7253041687091057,7.500715658813636
Morning peak,1.2,0.9,84.25892857142857,15.041281040473482,6,1.2448544973544973,FALSE,NA,Inf
Morning peak,1.2,1,84.25892857142857,15.041281040473482,6,1.1203690476190475,FALSE,NA,Inf
Morning peak,1.2,1.1,84.25892857142857,15.041281040473482,6,1.018517316017316,FALSE,NA,Inf
Midday,0.9,0.9,52.598214285714285,15.178393141252329,5,0.6930669642857141,TRUE,0.988855341072677,1.0499974440399273
Midday,0.9,1,52.598214285714285,15.178393141252329,5,0.6237602678571428,TRUE,0.9977140730055728,0.5601826702850072
Midday,0.9,1.1,52.598214285714285,15.178393141252329,5,0.5670547889610389,TRUE,0.9995223904719519,0.3275696766944344
Midday,1,0.9,52.598214285714285,15.178393141252329,5,0.7700744047619046,TRUE,0.9636603605057474,1.9021283548891563
Midday,1,1,52.598214285714285,15.178393141252329,5,0.6930669642857142,TRUE,0.9924410584571804,0.9449976996359348
Midday,1,1.1,52.598214285714285,15.178393141252329,5,0.6300608766233766,TRUE,0.9984006361151005,0.5342716152154319
Midday,1.1,0.9,52.598214285714285,15.178393141252329,5,0.8470818452380952,TRUE,0.8862825756778046,3.7247396302800464
Midday,1.1,1,52.598214285714285,15.178393141252329,5,0.7623736607142857,TRUE,0.9760454074231895,1.6098634490888812
Midday,1.1,1.1,52.598214285714285,15.178393141252329,5,0.6930669642857143,TRUE,0.9948730959269034,0.8590888178508508
Midday,1.2,0.9,52.598214285714285,15.178393141252329,5,0.9240892857142855,TRUE,0.6556413322525131,9.456214712894656
Midday,1.2,1,52.598214285714285,15.178393141252329,5,0.831680357142857,TRUE,0.9266303328089018,2.8970634483307527
Midday,1.2,1.1,52.598214285714285,15.178393141252329,5,0.7560730519480519,TRUE,0.9841323014098744,1.3923938591847014
